0	341309	542
1	348760	1110
2	299100	1431
3	255441	1632
4	274134	2193
5	274538	2639
6	279450	3139
7	284039	3653
8	291106	4218
9	292139	4711
10	275517	4896
11	274615	5332
12	280142	5902
13	273456	6214
14	276070	6733
15	278248	7250
16	278726	7729
17	278629	8194
18	278748	8668
19	278492	9130
20	277200	9558
21	280052	10133
22	274875	10415
23	275930	10927
24	276630	11431
25	268187	11544
26	269003	12044
27	271187	12613
28	272848	13165
29	273791	13689
30	273383	14148
31	275673	14751
32	278451	15391
33	277404	15825
34	278676	16392
35	279472	16937
36	281210	17546
37	280662	18015
38	277642	18321
39	271952	18437
40	272101	18940
41	271894	19421
42	272267	19944
43	271724	20402
44	272240	20941
45	269672	21241
46	270201	21782
47	267647	22074
48	267869	22591
49	268459	23143
50	268918	23687
51	268942	24195
52	269017	24710
53	268833	25203
54	269379	25766
55	266570	26006
56	266569	26517
57	264105	26779
