iter	MAE
0	0.06890865486
1	0.06874735166
2	0.06864724517
3	0.06857750331
4	0.06851779857
5	0.0684948172
6	0.06846346856
7	0.06843013978
8	0.06839227445
9	0.06837582211
10	0.06836845434
11	0.06834501531
12	0.06833005668
13	0.06832335201
14	0.06829814559
15	0.06828916628
16	0.06828708846
17	0.06827121503
18	0.06826492495
19	0.06824288647
20	0.06822222347
21	0.06821615493
22	0.06820779737
23	0.06820018192
24	0.06819800673
25	0.06819242517
26	0.06818620767
27	0.06817485077
28	0.06816502106
29	0.06816024173
30	0.06815437035
31	0.06815100654
32	0.06814853746
33	0.06813435775
34	0.06812827665
35	0.06812279154
36	0.06810924542
37	0.06810688839
38	0.06810440221
39	0.06810061911
40	0.06809754931
41	0.06809173292
42	0.06808973307
43	0.06808606988
44	0.06808317182
45	0.06807778722
46	0.06807150652
47	0.06806673802
48	0.06806495628
49	0.06805599294
50	0.06804682143
51	0.06803617737
52	0.0680297118
53	0.06802336912
54	0.06801786116
55	0.06801479799
56	0.06800653518
57	0.0680027812
58	0.06800222103
59	0.06799845334
60	0.0679962758
61	0.06798937677
62	0.06798420387
63	0.06798116351
64	0.06797864876
65	0.06797462146
66	0.06796967974
67	0.0679660916
68	0.06795926998
69	0.06795823194
70	0.06795647265
71	0.06795387425
72	0.06795182505
73	0.06794563016
74	0.06794432911
75	0.06793700653
76	0.06793287599
77	0.06793040056
78	0.06792741495
79	0.06792448512
80	0.06792287816
81	0.0679192486
82	0.06791530996
83	0.06791504518
84	0.06791441399
85	0.06790674143
86	0.06790327387
87	0.06790204602
88	0.06790098018
89	0.06789991885
90	0.06789535347
91	0.06789477456
92	0.06789182717
93	0.06788786415
94	0.06788579574
95	0.06788387143
96	0.06788209736
97	0.06788054786
98	0.067880253
99	0.06787818426
100	0.06787098537
101	0.06786744408
102	0.06786554979
103	0.06786543521
104	0.06786242
105	0.06785666091
106	0.06785296842
107	0.0678520659
108	0.06784803723
109	0.06784658654
110	0.06784636962
111	0.0678437821
112	0.06784341199
113	0.06783859155
114	0.06783460661
115	0.0678312787
116	0.06782586285
117	0.06782221581
118	0.06781979745
119	0.06781497505
120	0.06781496561
121	0.06781362163
122	0.0678128545
123	0.06781001233
124	0.06780767327
125	0.06780273749
126	0.06780139004
127	0.06780120458
128	0.0677967218
129	0.0677941141
130	0.06779189502
131	0.06779055865
132	0.06778871012
133	0.06778766166
134	0.06778688026
135	0.06777905238
136	0.06777694444
137	0.06777513084
138	0.06777222883
139	0.06777008405
140	0.06776903527
141	0.06776784368
142	0.06776658144
143	0.06776620852
144	0.06776372694
145	0.06776307205
146	0.0677609665
147	0.06776094875
148	0.06775703588
149	0.06775452604
150	0.0677516751
151	0.06774886582
152	0.06774677954
153	0.06774585978
154	0.06774427377
155	0.06774239138
156	0.06773912738
157	0.06773679888
158	0.06773444814
159	0.06773179005
160	0.06772650394
161	0.06772243778
162	0.06772172009
163	0.06771978251
164	0.06771714996
165	0.06771507619
166	0.06771057624
167	0.06770999222
168	0.06770812179
169	0.0677078007
170	0.06770373778
171	0.06769996942
172	0.06769785958
173	0.06769710335
174	0.06769624369
175	0.06769622801
176	0.06769338577
177	0.06769029963
178	0.06768763968
179	0.06768597756
180	0.06768464334
181	0.06768268591
182	0.0676818828
183	0.06767842524
184	0.06767753679
185	0.0676749931
186	0.06767330265
187	0.0676711404
188	0.06766882417
189	0.06766825761
190	0.06766321911
191	0.06766153667
192	0.06765833635
193	0.06765340254
194	0.06765187335
195	0.06765065115
196	0.06764848031
197	0.06764775406
198	0.06764454453
199	0.06764408569
200	0.06764192315
201	0.0676415253
202	0.06764013349
203	0.06763624943
204	0.0676312193
205	0.06763087931
206	0.06763031063
207	0.06763026121
208	0.06762832318
209	0.06762611662
210	0.0676229503
211	0.06762033432
212	0.0676202218
213	0.06761825886
214	0.06761359103
215	0.06761075351
216	0.06761035855
217	0.06760804115
218	0.06760453283
219	0.06760110367
220	0.06759958954
221	0.06759549754
222	0.06759484898
223	0.06759111528
224	0.06759030504
225	0.06758641316
226	0.06758438868
227	0.06758287227
228	0.06757931025
229	0.06757784492
230	0.06757484094
231	0.06757425479
232	0.06757403077
233	0.06757014247
234	0.06756984912
235	0.06756718256
236	0.06756552348
237	0.06756371433
238	0.06756076191
239	0.06755822154
240	0.06755284755
241	0.06755090384
242	0.06754646066
243	0.06754642201
244	0.06754463115
245	0.06754351809
246	0.06754014548
247	0.06753727005
248	0.06753506175
249	0.06753415708
250	0.06753406732
251	0.06753378003
252	0.06752980664
253	0.06752662494
254	0.0675261546
255	0.06752363605
256	0.06752285507
257	0.06752166843
258	0.06751884757
259	0.06751756199
260	0.06751432278
261	0.06751418265
262	0.06751110366
263	0.06751093384
264	0.06750728915
265	0.06750361196
266	0.06750355792
267	0.06750147204
268	0.06750147191
269	0.06750089942
270	0.06749851686
271	0.06749653407
272	0.06749061647
273	0.06748899751
274	0.06748725283
275	0.06748434764
276	0.06748246178
277	0.06748209548
278	0.06748106414
279	0.06747751194
